"L2_O","L2_C","L5_O","L5_C","year1","year3","year5","year10","gender","age","emploi","Text","Level","Data","sentiment","docname","Segment","WPS","WC","Sixltr","Dic","fonction","pronom","pronomp","je","nous","vous","il","ils","pronomimp","article","verbe","verbeauxi","verbepassé","verbeprésent","verbefutur","adverbe","préposition","conjonction","négation","quantifieur","nombre","juron","social","famille","ami","humain","affect","émopos","émonég","anxiété","colère","tristesse","cognition","perspicacité","cause","divergence","tentative","certitude","inhibition","inclusion","exclusion","perception","voir","entendre","sentir","biologique","corps","santé","sexualité","alimentation","relativité","mouvement","espace","temps","travail","accomplissement","loisir","maison","argent","religion","mort","consentement","hésitation","remplisseur","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"","","Totale car je fait confiance aux nouvelles technologies automobiles et leurs innovations. Elles seront déjà hyper perfectionnées et auront subies une batterie de tests avant leurs entrées sur le marché. Je ne vois aucune raison (qui ne verse pas dans le complotisme) pour ne pas leurs faire confiance. ","",3,41,60,85,2,21,1,"  Totale car je fait confiance aux nouvelles technologies automobiles et leurs innovations. Elles seront déjà hyper perfectionnées et auront subies une batterie de tests avant leurs entrées sur le marché. Je ne vois aucune raison (qui ne verse pas dans le complotisme) pour ne pas leurs faire confiance.  ","Level5","Car",1,"text60",60,17.6666666666667,53,18.87,305.66,49.06,15.09,15.09,3.77,0,0,3.77,7.55,0,9.43,13.21,1.89,5.66,3.77,1.89,3.77,11.32,7.55,11.32,3.77,1.89,0,1.89,0,0,0,5.66,3.77,1.89,0,0,1.89,28.3,3.77,9.43,0,0,3.77,3.77,7.55,7.55,3.77,3.77,0,0,0,0,0,0,0,16.98,5.66,5.66,5.66,1.89,9.43,1.89,0,1.89,0,0,0,0,0,9.43,5.66,0,0,0,0,0,0,0,0,0,5.66
"","","","Je ne me sentirais pas du tout maître de mon véhicule dans le sens où si je ne le contrôle pas un minimum, je n'aurais pas vraiment l'impression que c'est mon véhicule.",0,0,0,20,1,23,1,"   Je ne me sentirais pas du tout maître de mon véhicule dans le sens où si je ne le contrôle pas un minimum, je n'aurais pas vraiment l'impression que c'est mon véhicule.","Level5","Cloud",0,"text61",61,34,34,23.53,317.65,61.76,23.53,23.53,17.65,0,0,5.88,0,0,17.65,11.76,2.94,0,5.88,5.88,5.88,5.88,5.88,17.65,5.88,2.94,0,2.94,0,0,0,2.94,0,0,0,0,0,26.47,5.88,2.94,2.94,2.94,5.88,2.94,5.88,8.82,5.88,0,0,5.88,0,0,0,0,0,2.94,0,2.94,0,2.94,5.88,0,0,0,0,0,0,0,0,14.71,2.94,2.94,0,0,0,0,0,8.82,8.82,0,14.71
"","J'aurais tendance à me sentir encore totalement maitre du véhicule à ce niveau puisque je pourrais revenir à un niveau zéro à tout moment. Seule inquiétude : le laps de temps entre l'incident qui implique de reprendre la main et la reprise en main réelle, quelques secondes je suppose. Réagirais assez vite ?","","",0,0,20,50,2,39,2," J'aurais tendance à me sentir encore totalement maitre du véhicule à ce niveau puisque je pourrais revenir à un niveau zéro à tout moment. Seule inquiétude : le laps de temps entre l'incident qui implique de reprendre la main et la reprise en main réelle, quelques secondes je suppose. Réagirais assez vite ?  ","Level2","Cloud",2,"text62",62,18.6666666666667,56,28.57,310.71,53.57,10.71,10.71,7.14,0,0,3.57,0,0,12.5,16.07,1.79,1.79,3.57,5.36,12.5,14.29,5.36,0,10.71,3.57,0,1.79,0,0,0,3.57,0,3.57,1.79,0,1.79,28.57,1.79,5.36,0,8.93,3.57,0,10.71,0,5.36,0,0,5.36,3.57,3.57,0,0,0,21.43,1.79,12.5,8.93,3.57,0,0,0,0,0,0,0,0,0,12.5,3.57,1.79,1.79,0,1.79,0,0,3.57,3.57,0,12.5
"","","Je ne me sentirais pas maître du véhicule, par ce que je ne le serais pas. Si je n'ai pas la possibilité de modifier la trajectoire, d'arrêter le véhicule, etc... sans le concours du dispositif de conduite automatique, alors je n'ai aucun contrôle. En cas de bris du véhicule, d'un mauvais fonctionnement ou d'un piratage, je ne serais pas en mesure de faire quoi que ce soit.","",1,1,2,4,2,40,2,"  Je ne me sentirais pas maître du véhicule, par ce que je ne le serais pas. Si je n'ai pas la possibilité de modifier la trajectoire, d'arrêter le véhicule, etc... sans le concours du dispositif de conduite automatique, alors je n'ai aucun contrôle. En cas de bris du véhicule, d'un mauvais fonctionnement ou d'un piratage, je ne serais pas en mesure de faire quoi que ce soit. ","Level5","Car",-2,"text63",63,26.3333333333333,79,20.25,217.72,48.1,13.92,13.92,7.59,0,0,6.33,0,0,18.99,5.06,2.53,0,2.53,1.27,1.27,8.86,5.06,12.66,5.06,0,0,0,0,0,0,1.27,0,1.27,0,0,0,15.19,2.53,2.53,1.27,1.27,0,2.53,5.06,8.86,1.27,0,0,1.27,0,0,0,0,0,8.86,3.8,1.27,1.27,1.27,3.8,0,0,0,0,0,0,0,0,21.52,7.59,7.59,0,0,0,0,0,6.33,6.33,0,21.52
"Ce genre de technologie a des gadgets. Ils ne permettent pas de gagner grand-chose ou de rendre la voiture plus sûre. Ils semblent même dangereux dans la mesure où ils peuvent créer un faux sentiment de sécurité.","","","",20,30,50,80,1,24,1,"Ce genre de technologie a des gadgets. Ils ne permettent pas de gagner grand-chose ou de rendre la voiture plus sûre. Ils semblent même dangereux dans la mesure où ils peuvent créer un faux sentiment de sécurité.   ","Level2","Car",-5,"text64",64,14,42,21.43,292.86,40.48,9.52,9.52,0,0,0,2.38,7.14,0,19.05,19.05,2.38,4.76,9.52,0,4.76,14.29,0,4.76,7.14,2.38,0,0,0,0,0,19.05,14.29,7.14,0,2.38,0,26.19,7.14,4.76,2.38,4.76,2.38,0,4.76,4.76,0,0,0,0,0,0,0,0,0,14.29,2.38,7.14,0,2.38,4.76,0,0,2.38,0,0,2.38,0,0,9.52,7.14,0,0,0,0,0,2.38,0,0,0,7.14
"","","Au niveau 5, je ne me sens pas du tout maître de mon véhicule. Je me sentirai comme un passager dans une navette autonome par exemple comme il en existe dans les aéroports internationaux pour connecter les différents Hubs. On ne pourrai plus parler de conduite, de maîtrise puisque tout est automatisé et géré uniquement par la machine. Je n'ai pas du tout envie que cela se produise.  ","",0,0,0,1,2,41,1,"  Au niveau 5, je ne me sens pas du tout maître de mon véhicule. Je me sentirai comme un passager dans une navette autonome par exemple comme il en existe dans les aéroports internationaux pour connecter les différents Hubs. On ne pourrai plus parler de conduite, de maîtrise puisque tout est automatisé et géré uniquement par la machine. Je n'ai pas du tout envie que cela se produise.   ","Level5","Car",3,"text65",65,18.5,74,24.32,278.38,52.7,10.81,10.81,9.46,0,0,1.35,0,0,14.86,12.16,2.7,2.7,5.41,2.7,8.11,14.86,4.05,6.76,9.46,2.7,0,0,0,0,0,4.05,4.05,1.35,0,1.35,0,28.38,4.05,4.05,1.35,1.35,5.41,0,9.46,4.05,2.7,0,0,2.7,0,0,0,0,0,13.51,2.7,5.41,1.35,5.41,4.05,0,0,0,0,0,0,0,0,9.46,5.41,2.7,0,0,0,0,0,1.35,1.35,0,9.46
"Je pense qu'il est essentiel de rester concentrer sur la conduite. Le conducteur est responsable en cas d'accident, il doit donc rester vigilant. Je pense que ces éléments peuvent réduire sa vigilance ","","","",1,1,1,25,2,23,1,"Je pense qu'il est essentiel de rester concentrer sur la conduite. Le conducteur est responsable en cas d'accident, il doit donc rester vigilant. Je pense que ces éléments peuvent réduire sa vigilance    ","Level2","Car",7,"text66",66,11.6666666666667,35,31.43,231.43,31.43,14.29,14.29,5.71,0,0,8.57,0,0,8.57,22.86,5.71,0,11.43,0,0,8.57,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86,2.86,8.57,0,2.86,8.57,5.71,5.71,2.86,0,0,0,0,0,0,0,0,0,11.43,8.57,2.86,0,5.71,2.86,0,0,2.86,0,0,0,0,0,14.29,5.71,2.86,0,0,0,0,0,5.71,5.71,0,14.29
"","","","C’est le véhicule qui paraît être maître 
Inconcevable d’être dominé par la mécanique et dangereux à mon sens 
Ce ne doit pas être obligatoire mais une option. ",0,0,0,0,2,65,2,"   C’est le véhicule qui paraît être maître 
Inconcevable d’être dominé par la mécanique et dangereux à mon sens 
Ce ne doit pas être obligatoire mais une option. ","Level5","Cloud",-2,"text67",67,28,28,17.86,296.43,42.86,10.71,10.71,3.57,0,0,7.14,0,0,10.71,25,10.71,3.57,14.29,0,0,7.14,10.71,7.14,3.57,3.57,0,0,0,0,0,7.14,0,7.14,0,7.14,0,28.57,3.57,7.14,3.57,3.57,3.57,3.57,10.71,7.14,3.57,0,0,3.57,0,0,0,0,0,7.14,3.57,3.57,0,3.57,7.14,0,0,0,0,0,0,0,0,10.71,3.57,0,0,0,0,0,0,7.14,7.14,0,3.57
"","Oui je me sens maître de mon véhicule ds ces conditions 
Il y a toujours un volant,des pédales,et on est prévenu si anomalie ","","",50,73,81,82,1,71,3," Oui je me sens maître de mon véhicule ds ces conditions 
Il y a toujours un volant,des pédales,et on est prévenu si anomalie   ","Level2","Cloud",1,"text68",68,27,27,22.22,225.93,37.04,14.81,14.81,11.11,0,0,3.7,0,0,11.11,11.11,7.41,0,11.11,0,3.7,3.7,7.41,0,7.41,3.7,0,3.7,0,0,0,3.7,0,3.7,0,0,0,14.81,3.7,0,3.7,3.7,3.7,0,3.7,3.7,3.7,0,0,3.7,0,0,0,0,0,7.41,3.7,0,3.7,3.7,3.7,0,0,0,0,0,0,0,0,7.41,0,7.41,0,0,0,0,0,0,0,0,7.41
"","","Je ne me sentirai pas maître du véhicule puisque l’intelligence artificielle contrôlerait le système.","",0,0,10,20,2,22,1,"  Je ne me sentirai pas maître du véhicule puisque l’intelligence artificielle contrôlerait le système. ","Level5","Car",2,"text69",69,15,15,46.67,280,46.67,20,20,13.33,0,0,6.67,0,0,13.33,13.33,0,0,0,13.33,0,0,6.67,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,6.67,13.33,0,0,0,6.67,0,6.67,6.67,0,0,6.67,0,0,0,0,0,6.67,0,0,0,6.67,13.33,6.67,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,0,6.67,6.67,0,6.67
"","","","Je ne me sentirais en rien maître de mon véhicule puisque je n’ai aucune commande à bord (volant,
Pédales, ...) et que tout se fait à distance. 
",5,43,67,68,2,22,1,"   Je ne me sentirais en rien maître de mon véhicule puisque je n’ai aucune commande à bord (volant,
Pédales, ...) et que tout se fait à distance. 
","Level5","Cloud",0,"text70",70,34,34,17.65,279.41,47.06,14.71,14.71,14.71,0,0,0,0,0,2.94,8.82,2.94,0,5.88,2.94,2.94,11.76,8.82,11.76,8.82,0,0,2.94,0,0,0,2.94,0,2.94,0,0,0,29.41,2.94,5.88,0,0,2.94,0,11.76,8.82,2.94,0,0,2.94,0,0,0,0,0,17.65,5.88,11.76,0,2.94,5.88,0,0,0,0,0,0,0,0,26.47,11.76,5.88,0,0,0,0,0,2.94,2.94,0,17.65
"","","Je serai ravie que cela puisse exister, cependant, je reste septique à l'idée que la voiture puisse tout maîtriser elle-même.","",1,5,13,37,2,22,1,"  Je serai ravie que cela puisse exister, cependant, je reste septique à l'idée que la voiture puisse tout maîtriser elle-même. ","Level5","Car",0,"text71",71,25,25,20,220,40,12,12,8,0,0,4,0,0,4,8,0,0,4,0,8,4,12,0,8,0,0,0,0,0,0,4,4,0,0,0,0,24,0,4,8,0,8,0,12,0,0,0,0,0,0,0,0,0,0,12,8,4,0,4,4,0,0,0,0,0,0,0,0,20,4,8,0,0,0,0,4,4,4,0,16
"Je ne comprends pas bien l'intérêt d'une voiture de niveau 2, je préférais peut être que la voiture soit complètement autonome ou pas du tout, le fais que la voiture soit en partie autonome me procure du stress car la voiture va remplacer des actions que je suis très bien capable de faire, quand je conduis je suis a l'aise et en maîtrise car j'effectue toute les actions nécessaires constamment (angle mort, clignotant, attention sur la route, etc..) Conduire n'est pas juste d'accélérer ou freiner donc pour conduire de façon agréable je préfère avoir le contrôle complet du véhicule plutôt que juste de niveau 2.","","","",0,0,0,10,1,22,1,"Je ne comprends pas bien l'intérêt d'une voiture de niveau 2, je préférais peut être que la voiture soit complètement autonome ou pas du tout, le fais que la voiture soit en partie autonome me procure du stress car la voiture va remplacer des actions que je suis très bien capable de faire, quand je conduis je suis a l'aise et en maîtrise car j'effectue toute les actions nécessaires constamment (angle mort, clignotant, attention sur la route, etc..) Conduire n'est pas juste d'accélérer ou freiner donc pour conduire de façon agréable je préfère avoir le contrôle complet du véhicule plutôt que juste de niveau 2.   ","Level2","Car",5,"text72",72,58,116,26.72,282.76,45.69,8.62,8.62,6.9,0,0,1.72,0,0,14.66,17.24,3.45,1.72,9.48,0,7.76,6.9,9.48,4.31,6.03,0,0,0,0,0,0,4.31,3.45,0.86,0.86,0,0,25,5.17,8.62,2.59,1.72,6.9,1.72,5.17,4.31,0.86,0,0,0,0,0,0,0,0,25,13.79,5.17,4.31,0.86,6.9,0,0,0,0,0.86,1.72,0,0,14.66,2.59,5.17,0,0,0,0,0,5.17,5.17,0,12.93
"","","","Je ne me sens pas maitre de la voiture, s’il n’y a absolument aucune commande manuelle je risque de ne pas avoir entièrement confiance dans la voiture. Est-ce la voiture est réellement capable d’anticiper tous les mouvements de tous les usagers ? ",0,4,23,49,2,22,1,"   Je ne me sens pas maitre de la voiture, s’il n’y a absolument aucune commande manuelle je risque de ne pas avoir entièrement confiance dans la voiture. Est-ce la voiture est réellement capable d’anticiper tous les mouvements de tous les usagers ? ","Level5","Cloud",0,"text73",73,23,46,28.26,256.52,50,8.7,8.7,6.52,0,0,2.17,0,0,17.39,10.87,8.7,0,8.7,0,6.52,8.7,0,10.87,6.52,0,0,0,0,0,0,4.35,2.17,2.17,2.17,0,0,26.09,2.17,0,0,2.17,13.04,2.17,4.35,6.52,2.17,0,0,2.17,0,0,0,0,0,10.87,8.7,2.17,0,0,4.35,0,0,2.17,0,0,2.17,0,0,15.22,2.17,2.17,0,0,2.17,0,2.17,6.52,6.52,0,6.52
"","Il reste des moyens de contrôler le véhicule (volant, pédales), si on sent que l'informatique défaille c'est plutôt sécurisant.","","",0,0,14,36,1,23,1," Il reste des moyens de contrôler le véhicule (volant, pédales), si on sent que l'informatique défaille c'est plutôt sécurisant.  ","Level2","Cloud",2,"text74",74,24,24,25,220.83,33.33,8.33,8.33,0,0,0,8.33,0,0,12.5,16.67,4.17,0,12.5,0,4.17,4.17,8.33,0,4.17,0,0,4.17,0,0,0,4.17,0,4.17,0,0,0,16.67,4.17,4.17,8.33,4.17,0,4.17,4.17,8.33,4.17,0,0,4.17,0,0,0,0,0,8.33,8.33,0,0,0,4.17,0,0,0,0,0,0,0,0,29.17,4.17,8.33,0,0,0,0,0,8.33,8.33,0,20.83
"","","","Je ne me sens absolument pas maître de mon véhicule dans la mesure où je ne choisis que mon lieu d'arriver et éventuellement l'itinéraire à prendre. Sachant que mes données ne sont pas protégées, je ne suis maître de rien",2,10,20,30,2,22,1,"   Je ne me sens absolument pas maître de mon véhicule dans la mesure où je ne choisis que mon lieu d'arriver et éventuellement l'itinéraire à prendre. Sachant que mes données ne sont pas protégées, je ne suis maître de rien","Level5","Cloud",1,"text75",75,21,42,23.81,307.14,57.14,16.67,16.67,16.67,0,0,0,0,0,7.14,14.29,0,7.14,7.14,0,4.76,9.52,7.14,16.67,2.38,0,0,2.38,0,0,0,0,0,0,0,0,0,30.95,4.76,0,0,2.38,2.38,2.38,11.9,14.29,4.76,0,0,4.76,0,0,0,0,0,14.29,0,11.9,4.76,4.76,4.76,0,0,0,0,0,2.38,0,0,9.52,2.38,2.38,0,0,0,0,0,4.76,4.76,0,9.52
"Je me sentirai maître de mon véhicule. Dans le sens où les fonctions remplies automatiquement ne sont pas essentielles à la maitrise du véhicule sauf en cas de dysfonctionnement. Les fonctions remplies sont basiques donc peu développé avec une utilisation plutôt restreinte.","","","",0,10,30,50,1,21,1,"Je me sentirai maître de mon véhicule. Dans le sens où les fonctions remplies automatiquement ne sont pas essentielles à la maitrise du véhicule sauf en cas de dysfonctionnement. Les fonctions remplies sont basiques donc peu développé avec une utilisation plutôt restreinte.   ","Level2","Car",0,"text76",76,15,45,33.33,251.11,46.67,8.89,8.89,6.67,0,0,2.22,0,0,17.78,13.33,0,8.89,2.22,2.22,4.44,15.56,2.22,4.44,4.44,2.22,0,0,0,0,0,0,0,0,0,0,0,28.89,4.44,4.44,2.22,0,2.22,2.22,8.89,8.89,4.44,0,0,4.44,0,0,0,0,0,11.11,4.44,8.89,0,2.22,2.22,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,6.67
"","","Je ne me sentirais absolument pas maître de mon véhicule, je ne serais ni rassurée ni en confiance. Je ne pense pas que je monterai dans la voiture finalement. ","",2,0,0,2,2,21,1,"  Je ne me sentirais absolument pas maître de mon véhicule, je ne serais ni rassurée ni en confiance. Je ne pense pas que je monterai dans la voiture finalement.  ","Level5","Car",1,"text77",77,16,32,25,300,62.5,18.75,18.75,18.75,0,0,0,0,0,6.25,6.25,0,3.12,0,3.12,6.25,9.38,9.38,21.88,0,0,0,3.12,0,0,0,6.25,6.25,0,0,0,0,28.12,3.12,0,0,0,6.25,3.12,6.25,15.62,3.12,0,0,3.12,0,0,0,0,0,9.38,3.12,3.12,3.12,3.12,6.25,0,0,0,0,0,3.12,0,0,9.38,6.25,3.12,0,0,0,0,0,0,0,0,9.38
"","Même si le niveau 2 reste ""limité"" en terme d'automatisation, je trouve que cette perte de contrôle est quand même inquiétante. Je préfère gérer moi même mon véhicule de A à Z","","",2,9,20,30,2,24,1," Même si le niveau 2 reste ""limité"" en terme d'automatisation, je trouve que cette perte de contrôle est quand même inquiétante. Je préfère gérer moi même mon véhicule de A à Z  ","Level2","Cloud",2,"text78",78,18,36,13.89,294.44,41.67,13.89,13.89,11.11,0,0,2.78,0,0,8.33,19.44,5.56,2.78,13.89,0,8.33,11.11,8.33,0,8.33,0,0,0,0,0,0,5.56,0,5.56,2.78,0,2.78,30.56,8.33,2.78,5.56,2.78,0,5.56,5.56,5.56,2.78,2.78,0,0,0,0,0,0,0,16.67,2.78,8.33,2.78,2.78,2.78,0,0,0,0,0,0,0,0,13.89,2.78,2.78,0,0,0,0,0,8.33,2.78,0,13.89
"","","","J’aimerais toujours avec la possibilité de reprendre le contrôle si besoin avec un volant et les pédales. ",0,2,0,20,2,22,1,"   J’aimerais toujours avec la possibilité de reprendre le contrôle si besoin avec un volant et les pédales. ","Level5","Cloud",1,"text79",79,18,18,33.33,383.33,61.11,11.11,11.11,5.56,0,0,5.56,0,0,27.78,11.11,0,0,0,5.56,5.56,16.67,11.11,0,11.11,5.56,0,11.11,0,5.56,0,16.67,5.56,5.56,0,0,0,44.44,0,5.56,5.56,11.11,5.56,5.56,16.67,5.56,0,0,0,0,11.11,0,0,5.56,0,11.11,5.56,0,5.56,5.56,5.56,0,0,0,0,0,0,0,0,11.11,5.56,0,0,0,0,0,0,5.56,5.56,0,5.56
"","En ce qui concerne la gestion de la vitesse, le positionnement des roues.. on retrouve à peu près les caractéristiques actuelles qui font que l'on est quand même maître du véhicule de manière constante car malgré L’IA, on doit rester attentif et être prêt à toute éventualité. ","","",0,0,0,0,2,22,1," En ce qui concerne la gestion de la vitesse, le positionnement des roues.. on retrouve à peu près les caractéristiques actuelles qui font que l'on est quand même maître du véhicule de manière constante car malgré L’IA, on doit rester attentif et être prêt à toute éventualité.   ","Level2","Cloud",3,"text80",80,52,52,23.08,248.08,44.23,3.85,3.85,0,0,0,3.85,0,0,15.38,11.54,3.85,0,7.69,0,5.77,11.54,13.46,0,5.77,0,0,1.92,0,0,0,5.77,5.77,0,0,0,0,25,5.77,3.85,1.92,1.92,5.77,0,11.54,1.92,1.92,0,0,0,0,0,0,0,0,21.15,1.92,7.69,5.77,3.85,3.85,0,0,0,0,0,0,0,0,13.46,5.77,3.85,0,0,0,0,0,3.85,3.85,0,11.54
"","","Je me sentirai maître de la voiture mais pas trop, on reste sur une IA, un dysfonctionnement peut être bien arrivé. Je ne serai pas serein à l'idée de ne pas avoir de contrôle même minimum sur la voiture.
","",5,23,52,69,1,24,1,"  Je me sentirai maître de la voiture mais pas trop, on reste sur une IA, un dysfonctionnement peut être bien arrivé. Je ne serai pas serein à l'idée de ne pas avoir de contrôle même minimum sur la voiture.
 ","Level5","Car",0,"text81",81,21.5,43,13.95,255.81,48.84,6.98,6.98,6.98,0,0,0,0,0,16.28,13.95,4.65,2.33,4.65,2.33,4.65,13.95,2.33,11.63,6.98,4.65,0,0,0,0,0,2.33,2.33,0,0,0,0,20.93,2.33,2.33,2.33,2.33,0,2.33,4.65,6.98,2.33,0,0,2.33,0,0,0,0,0,16.28,9.3,6.98,0,2.33,6.98,0,0,0,0,0,2.33,0,0,11.63,4.65,4.65,0,0,0,0,0,2.33,2.33,0,11.63
"","je ne suis pas libre car je suis surveillée par un ordinateur qui traite mes données à distance.
Je ne me sens pas maitre de mon véhicule à n'importe quel instant","","",1,5,5,7,2,22,2," je ne suis pas libre car je suis surveillée par un ordinateur qui traite mes données à distance.
Je ne me sens pas maitre de mon véhicule à n'importe quel instant  ","Level2","Cloud",1,"text82",82,16,32,21.88,300,56.25,18.75,18.75,18.75,0,0,0,0,0,6.25,15.62,0,6.25,9.38,0,3.12,12.5,6.25,12.5,6.25,3.12,0,3.12,0,0,0,3.12,3.12,0,0,0,0,18.75,3.12,3.12,0,0,0,0,9.38,6.25,3.12,0,0,3.12,0,0,0,0,0,18.75,0,15.62,9.38,3.12,0,0,0,3.12,0,0,0,0,0,6.25,3.12,0,0,0,0,0,0,3.12,3.12,0,6.25
"","","Je ne me sentirais absolument pas maître de mon véhicule. Pour moi, il manque les pédales, freins et volants afin de pouvoir reprendre la main sur la voiture. La technologie c’est top mais il ne faut pas oublier que ça peut être défaillant et il faut pouvoir avoir un mode manuel.","",1,1,13,20,2,22,1,"  Je ne me sentirais absolument pas maître de mon véhicule. Pour moi, il manque les pédales, freins et volants afin de pouvoir reprendre la main sur la voiture. La technologie c’est top mais il ne faut pas oublier que ça peut être défaillant et il faut pouvoir avoir un mode manuel. ","Level5","Car",-2,"text83",83,18.6666666666667,56,21.43,273.21,46.43,14.29,14.29,7.14,0,0,7.14,0,0,12.5,17.86,5.36,0,10.71,1.79,1.79,7.14,7.14,7.14,1.79,1.79,0,1.79,0,0,0,5.36,0,5.36,0,0,3.57,26.79,5.36,0,1.79,7.14,5.36,1.79,5.36,5.36,3.57,0,0,3.57,1.79,1.79,0,0,0,7.14,3.57,1.79,0,5.36,3.57,0,0,0,0,0,1.79,0,0,10.71,5.36,3.57,0,0,0,0,0,1.79,1.79,0,8.93
"","","Pour ma part, le problème reste les autres conducteurs, tant que TOUT le monde ne dispose pas du même système de déplacement, je pense qu’il est difficile pour l’IA de prévoir les erreurs que pourraient faire les humains","",0,10,20,80,1,22,2,"  Pour ma part, le problème reste les autres conducteurs, tant que TOUT le monde ne dispose pas du même système de déplacement, je pense qu’il est difficile pour l’IA de prévoir les erreurs que pourraient faire les humains ","Level5","Car",-1,"text84",84,41,41,24.39,270.73,51.22,12.2,9.76,4.88,0,0,4.88,0,2.44,19.51,12.2,2.44,0,4.88,2.44,7.32,9.76,4.88,4.88,9.76,0,0,4.88,0,0,2.44,7.32,0,7.32,0,0,0,26.83,4.88,2.44,7.32,2.44,2.44,0,4.88,2.44,0,0,0,0,0,0,0,0,0,17.07,7.32,2.44,0,0,4.88,0,0,0,0,0,0,0,0,12.2,0,7.32,0,0,0,0,0,4.88,4.88,0,7.32
"La conduite est partagée entre l'autonomie et l'humain, s'il y a n'importe quel accident, je me sentirai donc responsable. Je pense donc être maître de mon véhicule. Il existe un volant, des pédales, un dispositif de conduite autonome et humaine, je suis libre de prendre le contrôle de mon véhicule.","","","",0,3,20,45,2,21,1,"La conduite est partagée entre l'autonomie et l'humain, s'il y a n'importe quel accident, je me sentirai donc responsable. Je pense donc être maître de mon véhicule. Il existe un volant, des pédales, un dispositif de conduite autonome et humaine, je suis libre de prendre le contrôle de mon véhicule.   ","Level2","Car",1,"text85",85,19.3333333333333,58,29.31,227.59,37.93,13.79,13.79,10.34,0,0,3.45,0,0,15.52,12.07,5.17,1.72,5.17,1.72,1.72,8.62,6.9,0,5.17,3.45,0,5.17,0,0,1.72,5.17,3.45,1.72,0,0,0,12.07,1.72,6.9,0,0,1.72,3.45,3.45,0,3.45,0,0,3.45,0,0,0,0,0,8.62,5.17,1.72,1.72,3.45,5.17,0,0,1.72,0,0,0,0,0,20.69,5.17,8.62,0,0,0,0,0,6.9,6.9,0,20.69
"","","","Je ne me sent absolument pas maitre de mon véhicule, sans volant ni pedale aucun moyen de contrôler le véhicule ",0,14,36,63,2,24,1,"   Je ne me sent absolument pas maitre de mon véhicule, sans volant ni pedale aucun moyen de contrôler le véhicule ","Level5","Cloud",1,"text86",86,21,21,19.05,295.24,57.14,19.05,19.05,14.29,0,0,4.76,0,0,14.29,9.52,0,0,4.76,0,4.76,9.52,4.76,19.05,9.52,0,0,4.76,0,0,0,4.76,0,4.76,0,0,0,28.57,4.76,4.76,0,0,4.76,4.76,0,14.29,4.76,0,0,4.76,0,0,0,0,0,4.76,4.76,0,0,0,4.76,0,0,0,0,0,4.76,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,4.76
"","","","Aucunement maitre du véhicule car il n'y a ni volant ni pédales. De plus les données extérieures auxquelles le conducteur doit être attentif en temps normal sont ici gérées par un système de cloud. 
",0,0,0,30,2,21,1,"   Aucunement maitre du véhicule car il n'y a ni volant ni pédales. De plus les données extérieures auxquelles le conducteur doit être attentif en temps normal sont ici gérées par un système de cloud. 
","Level5","Cloud",2,"text87",87,18,36,25,280.56,44.44,8.33,5.56,0,0,0,5.56,0,2.78,16.67,16.67,5.56,8.33,5.56,0,5.56,13.89,8.33,8.33,8.33,2.78,0,5.56,0,0,0,8.33,5.56,2.78,0,0,0,30.56,5.56,5.56,2.78,0,5.56,0,2.78,11.11,2.78,0,0,0,0,0,0,0,0,16.67,2.78,2.78,0,2.78,0,0,0,0,0,0,0,0,0,8.33,5.56,0,0,0,0,0,0,2.78,2.78,0,8.33
"","","Si le véhicule est capable de gérer de manière autonome les taches habituelle, cela n’impactE pas mon degrés de contrôle sur le vehicule","",0,0,0,0,1,23,1,"  Si le véhicule est capable de gérer de manière autonome les taches habituelle, cela n’impactE pas mon degrés de contrôle sur le vehicule ","Level5","Car",0,"text88",88,24,24,33.33,233.33,45.83,12.5,12.5,4.17,0,0,8.33,0,0,25,8.33,4.17,0,4.17,0,0,16.67,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,12.5,4.17,4.17,4.17,4.17,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,16.67,0,4.17,4.17,8.33,8.33,0,0,0,0,0,0,0,0,8.33,0,4.17,0,0,0,0,0,4.17,4.17,0,4.17
